From File,To File,References,From Entities,To Entities
"Application.java","Controller.java",8,7,4
"Application.java","RedirectException.java",2,2,2
"Application.java","Router.java",1,1,1
"Application.java","User.java",3,2,2
"Application.java","Validation.java",1,1,1
"AugmentedController.java","Controller.java",6,4,4
"AugmentedController.java","Router.java",2,2,2
"AuthenticationFailedExceptionMapper.java","RenardeSecurity.java",6,3,3
"BackofficeController.java","Controller.java",2,2,1
"BackofficeIndexController.java","Controller.java",2,2,1
"BackUtil.java","FileUtils.java",3,3,2
"BackUtil.java","JavaExtensions.java",8,5,8
"BackUtil.java","NamedBlob.java",14,3,5
"BarCodesTest.java","QuteCode128Code.java",3,2,2
"BarCodesTest.java","QuteCode39Code.java",3,2,2
"BarCodesTest.java","QuteCode93Code.java",3,2,2
"BarCodesTest.java","QuteDataMatrix.java",3,2,2
"BarCodesTest.java","QuteEan13Code.java",3,2,2
"BarCodesTest.java","QuteEan8Code.java",3,2,2
"BarCodesTest.java","QuteQrCode.java",3,2,2
"BarCodesTest.java","QuteUpcACode.java",3,2,2
"BarCodesTest.java","QuteUpcECode.java",3,2,2
"BinaryFieldProcessor.java","BackUtil.java",1,1,1
"BinaryFieldProcessor.java","FieldProcessingContext.java",6,1,4
"BinaryFieldProcessor.java","FieldProcessor.java",1,1,1
"BinaryFieldProcessor.java","ModelField.java",10,3,6
"BinaryFieldProcessor.java","NamedBlob.java",1,1,1
"BooleanFieldProcessor.java","BackUtil.java",1,1,1
"BooleanFieldProcessor.java","FieldProcessingContext.java",6,1,3
"BooleanFieldProcessor.java","FieldProcessor.java",1,1,1
"BooleanFieldProcessor.java","ModelField.java",5,3,5
"ConstraintedEntities.java","BackofficeController.java",2,2,1
"ConstraintedEntities.java","ConstraintedEntity.java",2,2,1
"ConstraintedEntity.java","RelatedConstraintedEntity.java",1,1,1
"Controller.java","Flash.java",4,4,3
"Controller.java","I18N.java",2,2,1
"Controller.java","RedirectException.java",3,2,2
"Controller.java","RenderArgs.java",2,2,1
"Controller.java","Validation.java",4,4,3
"ControllerVisitor.java","Controller.java",2,2,1
"ControllerVisitor.java","Router.java",3,3,1
"ControllerVisitor.java","RouterMethodVisitor.java",3,2,2
"ControllerWithUser.java","Controller.java",2,2,1
"ControllerWithUser.java","RenardeSecurity.java",2,2,2
"ControllerWithUser.java","RenardeUser.java",1,1,1
"CsrfDisabledTest.java","Controller.java",2,2,1
"CSRFFilter.java","CSRF.java",6,2,3
"CsrfTest.java","Controller.java",2,2,1
"CustomIdEntities.java","BackofficeController.java",2,2,1
"CustomIdEntities.java","CustomIdEntity.java",2,2,1
"CustomIdEntity.java","CustomIdOneToManyEntity.java",1,1,1
"CustomIdEntity.java","NamedBlob.java",2,2,1
"CustomIdOneToManyEntities.java","BackofficeController.java",2,2,1
"CustomIdOneToManyEntities.java","CustomIdOneToManyEntity.java",2,2,1
"CustomIdOneToManyEntity.java","CustomIdEntity.java",1,1,1
"CustomLoginControllerTest.java","Controller.java",2,2,1
"CustomLoginControllerTest.java","LoginPage.java",2,2,1
"CustomLoginControllerTest.java","RenardeSecurity.java",3,3,2
