From Files,To File,References,From Entities,To Entities
1,Application.java,2,2,2
14,BackofficeController.java,27,27,1
3,BackofficeIndexController.java,5,5,1
9,BackUtil.java,9,9,1
2,BinaryFieldProcessor.java,4,2,2
1,BooleanFieldProcessor.java,1,1,1
2,ConstraintedEntity.java,12,4,9
2,ContactService.java,34,15,8
34,Controller.java,107,95,10
3,ControllerVisitor.java,34,7,18
3,ControllerWithUser.java,9,9,2
1,CreateAction.java,3,2,1
1,CSRF.java,6,2,3
1,CSRFFilter.java,1,1,1
3,CustomIdEntity.java,43,12,5
3,CustomIdOneToManyEntity.java,28,8,3
2,DatabaseTransporter.java,8,5,5
1,DateFieldProcessor.java,1,1,1
2,DisableCSRFFilter.java,3,3,1
1,EditAction.java,3,2,1
3,EntityTransporter.java,7,6,6
1,EnumFieldProcessor.java,1,1,1
8,ExampleEntity.java,188,16,43
2,ExampleEnum.java,12,6,3
1,ExcludedControllerBuildItem.java,5,3,3
11,FieldProcessingContext.java,78,15,17
11,FieldProcessor.java,15,14,4
1,FieldProcessorDelegate.java,21,2,9
1,FieldProcessorRegistry.java,7,6,3
1,FieldRelationInfo.java,32,8,7
1,FieldTypeInfo.java,43,13,6
1,FieldValidationInfo.java,17,6,7
2,FileUtils.java,5,5,2
1,Filters.java,2,2,1
10,Flash.java,27,22,9
1,Futures.java,1,1,1
1,Globals.java,1,1,1
3,HxController.java,19,15,10
7,I18N.java,31,20,9
3,InstanceResolver.java,5,5,3
6,JavaExtensions.java,32,14,14
1,JsonFieldProcessor.java,1,1,1
2,LoginPage.java,4,4,1
1,LoginPageBuildItem.java,3,2,3
3,ManyToManyNotOwningEntity.java,7,6,1
3,ManyToManyOwningEntity.java,9,7,2
3,ManyToOneEntity.java,9,7,2
2,MockAppleOidc.java,3,3,1
2,MockFacebookOidc.java,3,3,1
2,MockGithubOidc.java,3,3,1
2,MockGoogleOidc.java,3,3,1
2,MockMicrosoftOidc.java,3,3,1
7,MockOidcTestResource.java,59,29,5
1,MockSpotifyOidc.java,2,2,1
3,MockTwitterOidc.java,4,4,1
3,Mode.java,9,5,3
16,ModelField.java,262,56,31
2,MultiRelationFieldProcessor.java,4,2,2
1,MyParamConverters.java,2,2,1
1,MyValidationInterceptor.java,1,1,1
7,NamedBlob.java,39,18,7
1,NumberFieldProcessor.java,1,1,1
3,OneToManyEntity.java,7,6,1
3,OneToOneNotOwningEntity.java,7,6,1
3,OneToOneOwningEntity.java,6,5,1
2,Pdf.java,8,6,4
9,QuteBarCode.java,27,18,3
1,QuteCode128Code.java,3,2,2
1,QuteCode39Code.java,3,2,2
1,QuteCode93Code.java,3,2,2
1,QuteDataMatrix.java,3,2,2
1,QuteEan13Code.java,3,2,2
1,QuteEan8Code.java,3,2,2
1,QuteQrCode.java,3,2,2
1,QuteResolvers.java,1,1,1
1,QuteUpcACode.java,3,2,2
1,QuteUpcECode.java,3,2,2
5,RedirectException.java,14,10,3
1,RedirectExceptionMapper.java,2,2,1
2,RelatedConstraintedEntity.java,4,4,1
1,RelationFieldProcessor.java,1,1,1
3,RenardeConfig.java,33,12,10
5,RenardeConfigBean.java,18,12,5
3,RenardeCookieFilter.java,17,9,3
1,RenardeGithubClient.java,5,3,4
3,RenardeJWTAuthMechanism.java,6,6,2
2,RenardeOidcHandler.java,6,6,3
2,RenardeOidcSecurity.java,9,5,5
1,RenardeRecorder.java,3,3,3
1,RenardeResourceTest.java,1,1,1
6,RenardeSecurity.java,20,17,7
3,RenardeTenantProvider.java,7,7,3
12,RenardeUser.java,24,22,4
10,RenardeUserProvider.java,21,21,2
8,RenardeUserWithPassword.java,17,16,2
1,RenardeValidationLocaleResolver.java,1,1,1
3,RenderArgs.java,4,4,2
10,Router.java,82,41,4
2,RouterMethod.java,3,3,2
2,RouterMethodVisitor.java,5,3,3
1,RouterUserVisitor.java,1,1,1
6,src_main_java_model_Todo.java,42,21,5
1,StringUtils.java,2,2,1
1,TextFieldProcessor.java,1,1,1
3,TodoDTO.java,19,13,7
1,TodoMapper.java,8,6,5
1,TodoService.java,9,8,7
1,TransporterUtil.java,1,1,1
5,User.java,20,11,9
1,Util.java,7,3,5
6,Validation.java,11,10,7
2,ValidationContext.java,7,6,5
3,ValueTransformer.java,12,12,3
