From File,To Files,References,From Entities,To Entities
Application.java,5,15,9,10
AugmentedController.java,2,8,5,6
AuthenticationFailedExceptionMapper.java,1,6,3,3
BackofficeController.java,1,2,2,1
BackofficeIndexController.java,1,2,2,1
BackUtil.java,3,25,8,15
BarCodesTest.java,9,27,10,18
BinaryFieldProcessor.java,5,19,4,13
BooleanFieldProcessor.java,4,13,4,10
ConstraintedEntities.java,2,4,2,2
ConstraintedEntity.java,1,1,1,1
Controller.java,5,15,9,10
ControllerVisitor.java,3,8,5,4
ControllerWithUser.java,3,5,5,4
CsrfDisabledTest.java,1,2,2,1
CSRFFilter.java,1,6,2,3
CsrfTest.java,1,2,2,1
CustomIdEntities.java,2,4,2,2
CustomIdEntity.java,2,3,3,2
CustomIdOneToManyEntities.java,2,4,2,2
CustomIdOneToManyEntity.java,1,1,1,1
CustomLoginControllerTest.java,7,14,8,8
DatabaseTransporter.java,3,6,4,6
DateFieldProcessor.java,4,27,4,13
DefaultTenantProvider.java,1,2,2,1
DefaultUserProvider.java,2,4,3,2
EnumFieldProcessor.java,4,14,4,11
ExampleEntities.java,2,4,2,2
ExampleEntity.java,8,11,11,8
ExceptionMappers.java,1,2,2,1
FieldProcessingContext.java,2,7,7,2
FieldProcessor.java,1,1,1,1
FieldProcessorDelegate.java,7,38,9,25
FieldProcessorRegistry.java,11,17,6,15
FieldTypeInfo.java,1,3,2,2
Filters.java,2,6,4,6
Flash.java,1,4,3,4
GlobalsTest.java,1,2,2,1
HtmxApp.java,3,26,9,11
HxController.java,2,6,5,5
HxControllerTest.java,1,11,8,8
I18N.java,1,3,3,2
InstanceResolver.java,2,3,2,2
JavaExtensions.java,1,2,2,1
JsonFieldProcessor.java,4,14,4,11
JWTLocationCookieDisabledTest.java,5,14,7,8
JWTTest.java,5,12,7,8
LanguageDevModeTest.java,2,4,3,3
LanguageTest.java,3,28,11,10
LoginControllerLocationCookieDisabledTest.java,4,8,5,4
LoginControllerTest.java,4,8,5,4
LoginPageBuildItem.java,1,7,2,4
ManyToManyNotOwningEntities.java,2,4,2,2
ManyToManyNotOwningEntity.java,1,1,1,1
ManyToManyOwningEntities.java,2,4,2,2
ManyToManyOwningEntity.java,1,1,1,1
ManyToOneEntities.java,2,4,2,2
ManyToOneEntity.java,1,1,1,1
MockAppleOidcTestResource.java,2,8,5,6
MockFacebookOidcTestResource.java,2,10,5,6
MockGithubOidcTestResource.java,2,7,3,5
MockGoogleOidcTestResource.java,2,10,4,5
MockMicrosoftOidcTestResource.java,2,14,5,5
MockSpotifyOidcTestResource.java,2,10,4,5
MockTwitterOidcTestResource.java,2,7,3,5
ModelField.java,5,96,21,23
MultiRelationFieldProcessor.java,4,43,6,17
MyParamConverters.java,2,3,3,2
MyValidationInterceptor.java,2,4,3,3
NativeRenardeResourceIT.java,1,1,1,1
NoLoginControllerTest.java,3,7,5,3
NumberFieldProcessor.java,4,18,5,10
OidcHandler.java,7,24,5,18
OneToManyEntities.java,2,4,2,2
OneToManyEntity.java,1,1,1,1
OneToOneNotOwningEntities.java,2,4,2,2
OneToOneNotOwningEntity.java,1,1,1,1
OneToOneOwningEntities.java,2,4,2,2
OneToOneOwningEntity.java,1,1,1,1
ParamConversionTest.java,2,70,28,3
PdfController.java,2,5,2,3
PdfResponseHandler.java,1,5,4,3
QuteBarCode.java,2,8,4,6
QuteCode128Code.java,1,3,2,3
QuteCode39Code.java,1,3,2,3
QuteCode93Code.java,1,3,2,3
QuteDataMatrix.java,1,3,2,3
QuteEan13Code.java,1,3,2,3
QuteEan8Code.java,1,3,2,3
QuteQrCode.java,1,3,2,3
QuteResolvers.java,3,7,4,6
QuteUpcACode.java,1,3,2,3
QuteUpcECode.java,1,3,2,3
RedirectExceptionMapper.java,1,1,1,1
RedirectHook.java,2,8,5,6
RelationFieldProcessor.java,4,14,4,12
